id,filing_date,filing_type,filing_json,payment_id,transaction_id,business_id,submitter_id,status,payment_completion_date,paper_only,completion_date,effective_date,source,parent_filing_id,payment_status_code,temp_reg,payment_account
101988,2020-09-01 22:53:29.119306+00,lear_epoch,"{""filing"": {""header"": {""name"": ""lear_epoch""}, ""business"": {""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""foundingDate"": ""1986-11-24T00:00:00+00:00"", ""lastModified"": ""2020-09-01T22:53:27.576678"", ""hasRestrictions"": null, ""lastAnnualReport"": ""2019-03-13"", ""nextAnnualReport"": ""2020-03-13T00:00:00"", ""lastLedgerTimestamp"": ""2019-06-27T00:00:00+00:00"", ""lastAnnualGeneralMeetingDate"": ""2019-03-13""}}}",,128913,3334,,EPOCH,,f,,2020-09-01 22:53:29.119316+00,COLIN,,,,
101989,1986-11-24 00:00:00+00,incorporationApplication,"{""filing"": {""header"": {""date"": ""1986-11-24"", ""name"": ""incorporationApplication"", ""colinIds"": [101989744], ""historic"": true, ""effectiveDate"": ""1986-11-24"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""incorporationApplication"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128914,3334,122,COMPLETED,,t,,1986-11-24 00:00:00+00,COLIN,,,,
101990,1992-02-21 00:00:00+00,specialResolution,"{""filing"": {""header"": {""date"": ""1992-02-21"", ""name"": ""specialResolution"", ""colinIds"": [102015591], ""historic"": true, ""effectiveDate"": ""1992-02-21"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""specialResolution"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128915,3334,122,COMPLETED,,t,,1992-02-21 00:00:00+00,COLIN,,,,
101991,1992-05-04 00:00:00+00,specialResolution,"{""filing"": {""header"": {""date"": ""1992-05-04"", ""name"": ""specialResolution"", ""colinIds"": [102015592], ""historic"": true, ""effectiveDate"": ""1992-05-04"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""specialResolution"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128916,3334,122,COMPLETED,,t,,1992-05-04 00:00:00+00,COLIN,,,,
101992,1992-05-04 00:00:00+00,annualReport,"{""filing"": {""header"": {""date"": ""1992-05-04"", ""name"": ""annualReport"", ""colinIds"": [102015593], ""historic"": true, ""effectiveDate"": ""1992-05-04"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""annualReport"": {""annualReportDate"": ""1992-03-24"", ""annualGeneralMeetingDate"": null}}}",,128917,3334,122,COMPLETED,,t,,1992-05-04 00:00:00+00,COLIN,,,,
101993,1992-09-21 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1992-09-21"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015594], ""historic"": true, ""effectiveDate"": ""1992-09-21"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128918,3334,122,COMPLETED,,t,,1992-09-21 00:00:00+00,COLIN,,,,
101994,1992-11-18 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1992-11-18"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015595], ""historic"": true, ""effectiveDate"": ""1992-11-18"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128919,3334,122,COMPLETED,,t,,1992-11-18 00:00:00+00,COLIN,,,,
101995,1993-01-26 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1993-01-26"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015596], ""historic"": true, ""effectiveDate"": ""1993-01-26"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128920,3334,122,COMPLETED,,t,,1993-01-26 00:00:00+00,COLIN,,,,
101996,1993-04-30 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1993-04-30"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015597], ""historic"": true, ""effectiveDate"": ""1993-04-30"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128921,3334,122,COMPLETED,,t,,1993-04-30 00:00:00+00,COLIN,,,,
101997,1993-04-30 00:00:00+00,annualReport,"{""filing"": {""header"": {""date"": ""1993-04-30"", ""name"": ""annualReport"", ""colinIds"": [102015598], ""historic"": true, ""effectiveDate"": ""1993-04-30"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""CHINA CREEK HOUSING C0-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001540"", ""lastArDate"": ""2019-03-13"", ""lastAgmDate"": ""2019-03-13"", ""foundingDate"": ""1986-11-24T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2019-06-27T00:00:00-00:00""}, ""annualReport"": {""annualReportDate"": ""1993-03-31"", ""annualGeneralMeetingDate"": null}}}",,128922,3334,122,COMPLETED,,t,,1993-04-30 00:00:00+00,COLIN,,,,
